N	Thread Priority	Main Priority	Nice	Policy	Sequential	Lock Type	total	avg	max	
6	1	1	-	SCHED_RR	0	MUTEX	0.027776562	0.000004161	0.000014271	
6	1	1	-	SCHED_RR	0	MUTEX	0.028726093	0.000004239	0.000015000	
6	1	1	-	SCHED_RR	0	MUTEX	0.029481197	0.000004162	0.000015313	
6	1	1	-	SCHED_RR	0	MUTEX	0.028972238	0.000004141	0.000015157	
6	1	1	-	SCHED_RR	0	MUTEX	0.027801041	0.000004272	0.000015781	
6	1	1	-	SCHED_RR	0	MUTEX	0.029420051	0.000004105	0.000016458	
6	1	1	-	SCHED_RR	0	MUTEX	0.028215572	0.000004287	0.000016979	
6	1	1	-	SCHED_RR	0	MUTEX	0.028442707	0.000004199	0.000015729	
6	1	1	-	SCHED_RR	0	MUTEX	0.028154010	0.000004191	0.000014427	
6	1	1	-	SCHED_RR	0	MUTEX	0.028596510	0.000004152	0.000015625	
6	1	1	-	SCHED_RR	0	MUTEX	0.021061718	0.000002917	0.000012396	
6	1	1	-	SCHED_RR	0	MUTEX	0.020373280	0.000002992	0.000012916	
6	1	1	-	SCHED_RR	0	MUTEX	0.019649427	0.000002900	0.000012812	
6	1	1	-	SCHED_RR	0	MUTEX	0.020519687	0.000002884	0.000012604	
6	1	1	-	SCHED_RR	0	MUTEX	0.020615676	0.000002899	0.000013958	
6	1	1	-	SCHED_RR	0	MUTEX	0.020656457	0.000002837	0.000012813	
6	1	1	-	SCHED_RR	0	MUTEX	0.020520520	0.000002954	0.000013281	
6	1	1	-	SCHED_RR	0	MUTEX	0.019688489	0.000002933	0.000012604	
6	1	1	-	SCHED_RR	0	MUTEX	0.020297292	0.000002854	0.000012657	
6	1	1	-	SCHED_RR	0	MUTEX	0.020221562	0.000003303	0.000074896	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020799427	0.000002975	0.000012969	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020416354	0.000002984	0.000013698	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020434166	0.000003035	0.000010990	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019855572	0.000002979	0.000012188	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019902083	0.000002986	0.000012760	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019845469	0.000003193	0.000028021	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020165156	0.000003069	0.000014114	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020292083	0.000003080	0.000013125	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020000416	0.000003229	0.000054687	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020621614	0.000002998	0.000014062	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019592760	0.000003245	0.000054375	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019978229	0.000003013	0.000013958	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020048645	0.000003009	0.000013541	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.021160780	0.000003010	0.000016979	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020178646	0.000003020	0.000024740	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020525103	0.000002954	0.000014010	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020591562	0.000003069	0.000014114	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020246093	0.000003287	0.000052865	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.019732656	0.000003021	0.000012239	
6	1	1	-	SCHED_RR	0	SEMAPHORE	0.020586249	0.000003376	0.000080625	
6	1	1	-	SCHED_RR	0	SPIN	0.019658281	0.000004165	0.000015261	
6	1	1	-	SCHED_RR	0	SPIN	0.019825833	0.000004118	0.000013594	
6	1	1	-	SCHED_RR	0	SPIN	0.020273854	0.000004086	0.000014323	
6	1	1	-	SCHED_RR	0	SPIN	0.019371458	0.000004153	0.000013594	
6	1	1	-	SCHED_RR	0	SPIN	0.021394218	0.000004720	0.000091927	
6	1	1	-	SCHED_RR	0	SPIN	0.019114739	0.000004175	0.000014844	
6	1	1	-	SCHED_RR	0	SPIN	0.019274791	0.000004330	0.000012865	
6	1	1	-	SCHED_RR	0	SPIN	0.019340468	0.000004149	0.000016042	
6	1	1	-	SCHED_RR	0	SPIN	0.019526405	0.000004207	0.000015000	
6	1	1	-	SCHED_RR	0	SPIN	0.020319010	0.000004051	0.000014323	
6	1	1	-	SCHED_RR	0	SPIN	0.019724948	0.000004180	0.000015000	
6	1	1	-	SCHED_RR	0	SPIN	0.019319114	0.000004289	0.000015625	
6	1	1	-	SCHED_RR	0	SPIN	0.019945052	0.000004223	0.000013802	
6	1	1	-	SCHED_RR	0	SPIN	0.020582499	0.000004254	0.000027187	
6	1	1	-	SCHED_RR	0	SPIN	0.019631458	0.000004272	0.000013750	
6	1	1	-	SCHED_RR	0	SPIN	0.019215832	0.000004200	0.000014427	
6	1	1	-	SCHED_RR	0	SPIN	0.019728072	0.000004202	0.000014739	
6	1	1	-	SCHED_RR	0	SPIN	0.020619426	0.000004345	0.000014792	
6	1	1	-	SCHED_RR	0	SPIN	0.020325364	0.000004166	0.000014323	
6	1	1	-	SCHED_RR	0	SPIN	0.020568177	0.000004107	0.000014167	
6	99	99	-	SCHED_RR	0	MUTEX	0.020355051	0.000002966	0.000012552	
6	99	99	-	SCHED_RR	0	MUTEX	0.020234166	0.000002873	0.000011406	
6	99	99	-	SCHED_RR	0	MUTEX	0.019798905	0.000002901	0.000013907	
6	99	99	-	SCHED_RR	0	MUTEX	0.019652083	0.000002963	0.000015105	
6	99	99	-	SCHED_RR	0	MUTEX	0.019937135	0.000002957	0.000013073	
6	99	99	-	SCHED_RR	0	MUTEX	0.020360416	0.000002855	0.000012916	
6	99	99	-	SCHED_RR	0	MUTEX	0.020336718	0.000003073	0.000057448	
6	99	99	-	SCHED_RR	0	MUTEX	0.020100780	0.000002996	0.000011510	
6	99	99	-	SCHED_RR	0	MUTEX	0.020859999	0.000002842	0.000012292	
6	99	99	-	SCHED_RR	0	MUTEX	0.019745207	0.000002903	0.000011927	
6	99	99	-	SCHED_RR	0	MUTEX	0.020761614	0.000003257	0.000069167	
6	99	99	-	SCHED_RR	0	MUTEX	0.020347291	0.000002930	0.000010208	
6	99	99	-	SCHED_RR	0	MUTEX	0.019665937	0.000002891	0.000012135	
6	99	99	-	SCHED_RR	0	MUTEX	0.020038333	0.000002933	0.000013594	
6	99	99	-	SCHED_RR	0	MUTEX	0.020591249	0.000002863	0.000012135	
6	99	99	-	SCHED_RR	0	MUTEX	0.020117135	0.000002964	0.000013073	
6	99	99	-	SCHED_RR	0	MUTEX	0.019708541	0.000002839	0.000011146	
6	99	99	-	SCHED_RR	0	MUTEX	0.027737759	0.000004246	0.000015677	
6	99	99	-	SCHED_RR	0	MUTEX	0.028531979	0.000004199	0.000019584	
6	99	99	-	SCHED_RR	0	MUTEX	0.029917915	0.000004123	0.000015364	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.028310416	0.000004230	0.000017188	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.028056562	0.000004250	0.000017187	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.028413020	0.000004395	0.000018646	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.028553019	0.000004330	0.000016354	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.027905884	0.000004318	0.000015313	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020781041	0.000003052	0.000013333	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020322291	0.000002968	0.000012552	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.019936249	0.000003024	0.000012031	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020400728	0.000003059	0.000013646	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020219166	0.000002993	0.000013386	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.019908854	0.000003050	0.000013125	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020301875	0.000003081	0.000013802	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020725052	0.000003481	0.000109271	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020493228	0.000002929	0.000013490	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020330989	0.000002879	0.000014062	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020466145	0.000003038	0.000013646	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020445572	0.000002916	0.000014167	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020256145	0.000002935	0.000013281	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.020548333	0.000003248	0.000056511	
6	99	99	-	SCHED_RR	0	SEMAPHORE	0.019939061	0.000003043	0.000013906	
6	99	99	-	SCHED_RR	0	SPIN	0.019644739	0.000004275	0.000014479	
6	99	99	-	SCHED_RR	0	SPIN	0.019640885	0.000004251	0.000015468	
6	99	99	-	SCHED_RR	0	SPIN	0.020351301	0.000004349	0.000014219	
6	99	99	-	SCHED_RR	0	SPIN	0.019740051	0.000006039	0.000385937	
6	99	99	-	SCHED_RR	0	SPIN	0.019908645	0.000004295	0.000015469	
6	99	99	-	SCHED_RR	0	SPIN	0.019530729	0.000004291	0.000014531	
6	99	99	-	SCHED_RR	0	SPIN	0.019413333	0.000004202	0.000015989	
6	99	99	-	SCHED_RR	0	SPIN	0.024947603	0.000005381	0.000015625	
6	99	99	-	SCHED_RR	0	SPIN	0.027252916	0.000006072	0.000018854	
6	99	99	-	SCHED_RR	0	SPIN	0.029019373	0.000006054	0.000017760	
6	99	99	-	SCHED_RR	0	SPIN	0.027892551	0.000006017	0.000017969	
6	99	99	-	SCHED_RR	0	SPIN	0.027116718	0.000006126	0.000017969	
6	99	99	-	SCHED_RR	0	SPIN	0.027513905	0.000006548	0.000099375	
6	99	99	-	SCHED_RR	0	SPIN	0.027529426	0.000005989	0.000018594	
6	99	99	-	SCHED_RR	0	SPIN	0.028921874	0.000006019	0.000017812	
6	99	99	-	SCHED_RR	0	SPIN	0.025204478	0.000006186	0.000063386	
6	99	99	-	SCHED_RR	0	SPIN	0.019457969	0.000004210	0.000013490	
6	99	99	-	SCHED_RR	0	SPIN	0.019558333	0.000004601	0.000054792	
6	99	99	-	SCHED_RR	0	SPIN	0.019792968	0.000004220	0.000014531	
6	99	99	-	SCHED_RR	0	SPIN	0.019779634	0.000004248	0.000014270	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020221040	0.000003329	0.000106563	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020768593	0.000002910	0.000012188	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020376718	0.000002902	0.000011979	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020270676	0.000003216	0.000056198	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.019886197	0.000003169	0.000048698	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.019551093	0.000002920	0.000012344	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.022071406	0.000003482	0.000083437	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028118333	0.000004559	0.000046978	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.027656874	0.000004239	0.000015365	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028838019	0.000004204	0.000013229	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.029070207	0.000004343	0.000022813	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028753645	0.000004197	0.000013907	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028897551	0.000004539	0.000093021	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028075415	0.000004202	0.000014323	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.028151665	0.000004188	0.000016823	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020596145	0.000002948	0.000012813	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.019987239	0.000002935	0.000012187	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020659582	0.000002923	0.000015833	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020168489	0.000002866	0.000012812	
6	1	1	-	SCHED_FIFO	0	MUTEX	0.020121197	0.000003002	0.000013333	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.019924947	0.000003032	0.000012396	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.019606926	0.000002986	0.000013646	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020777656	0.000002967	0.000015104	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020144270	0.000002971	0.000013802	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020376926	0.000003108	0.000011459	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020518020	0.000002973	0.000013698	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.028066822	0.000004313	0.000016042	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.028790884	0.000005046	0.000102552	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.028254478	0.000004584	0.000060364	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.028152343	0.000007055	0.000591094	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.027729113	0.000004834	0.000105521	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.027787447	0.000004304	0.000018438	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.029496613	0.000004285	0.000016198	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.028733853	0.000004377	0.000014323	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020408489	0.000002993	0.000013021	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020250051	0.000002960	0.000014635	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020123801	0.000004540	0.000321875	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.021940208	0.000003030	0.000013021	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.020373750	0.000002960	0.000011979	
6	1	1	-	SCHED_FIFO	0	SEMAPHORE	0.019877239	0.000003273	0.000054063	
6	1	1	-	SCHED_FIFO	0	SPIN	0.020076874	0.000004241	0.000015417	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019441405	0.000004244	0.000015573	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019639114	0.000004421	0.000055000	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019947186	0.000004220	0.000015313	
6	1	1	-	SCHED_FIFO	0	SPIN	0.020875364	0.000004224	0.000014531	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019303177	0.000004713	0.000120417	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019614479	0.000004213	0.000015104	
6	1	1	-	SCHED_FIFO	0	SPIN	0.020234582	0.000004234	0.000013802	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019546718	0.000004258	0.000014167	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019225103	0.000004450	0.000053073	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019676197	0.000004179	0.000016771	
6	1	1	-	SCHED_FIFO	0	SPIN	0.020092864	0.000004290	0.000014635	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019625208	0.000004115	0.000014948	
6	1	1	-	SCHED_FIFO	0	SPIN	0.020383801	0.000004202	0.000014635	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019736510	0.000004487	0.000056354	
6	1	1	-	SCHED_FIFO	0	SPIN	0.019371406	0.000004137	0.000014687	
6	1	1	-	SCHED_FIFO	0	SPIN	0.025601978	0.000005653	0.000015521	
6	1	1	-	SCHED_FIFO	0	SPIN	0.029372134	0.000006352	0.000092395	
6	1	1	-	SCHED_FIFO	0	SPIN	0.028319843	0.000005814	0.000018334	
6	1	1	-	SCHED_FIFO	0	SPIN	0.028905363	0.000005926	0.000017136	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028524165	0.000006518	0.000505573	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.029414426	0.000004587	0.000097500	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028665468	0.000004254	0.000027240	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028093176	0.000004180	0.000016615	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028458541	0.000004176	0.000015781	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028702602	0.000006489	0.000503333	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.029859791	0.000005734	0.000284740	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028640884	0.000004163	0.000016823	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.029259634	0.000004100	0.000012969	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.029641457	0.000004098	0.000015000	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028355103	0.000004169	0.000015364	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.028437239	0.000004140	0.000015730	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020333749	0.000002891	0.000013229	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020237864	0.000002887	0.000012292	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020826562	0.000003102	0.000054948	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020609009	0.000002813	0.000011875	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020547968	0.000002835	0.000011146	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020144687	0.000002900	0.000012552	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.020872603	0.000002835	0.000012604	
6	99	99	-	SCHED_FIFO	0	MUTEX	0.019577863	0.000003172	0.000052709	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020304270	0.000003150	0.000024375	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019763229	0.000003035	0.000013125	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020230884	0.000002977	0.000014167	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020206822	0.000002893	0.000013385	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020160103	0.000003091	0.000013073	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020234947	0.000003046	0.000015208	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019707916	0.000002968	0.000016771	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019549634	0.000003034	0.000017240	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020664166	0.000003016	0.000014375	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020009738	0.000003047	0.000013229	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020618280	0.000002945	0.000013854	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020596926	0.000003027	0.000013854	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019969061	0.000002967	0.000013646	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019635364	0.000002957	0.000014532	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020765885	0.000002993	0.000015365	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019751718	0.000002967	0.000013334	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020184635	0.000002962	0.000013542	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.019700936	0.000003417	0.000088177	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.020173697	0.000003023	0.000013177	
6	99	99	-	SCHED_FIFO	0	SEMAPHORE	0.021155208	0.000004596	0.000348958	
